epoch,iteration,loss
0,79,3.4439
1,158,3.2944
2,237,3.3587
3,316,3.0839
4,395,3.3050
5,474,3.3467
6,553,3.2914
7,632,3.1724
8,711,3.0525
9,790,3.1015
10,869,3.1521
11,948,3.1073
12,1027,3.0894
13,1106,3.1082
14,1185,3.0910
15,1264,3.1637
16,1343,2.9146
17,1422,3.0416
18,1501,3.0166
19,1580,2.9390
20,1659,3.2224
21,1738,3.0246
22,1817,2.9972
23,1896,2.8738
24,1975,3.0552
25,2054,2.9650
26,2133,3.0757
27,2212,2.8154
28,2291,3.1816
29,2370,2.8087
30,2449,2.8824
31,2528,2.8139
32,2607,2.9484
33,2686,2.9347
34,2765,2.9872
35,2844,3.0257
36,2923,2.9757
37,3002,2.9561
38,3081,2.8620
39,3160,3.0066
40,3239,3.1652
41,3318,2.9803
42,3397,3.0572
43,3476,3.1004
44,3555,2.8013
45,3634,3.0044
46,3713,3.0171
47,3792,2.9478
48,3871,2.7634
49,3950,2.9506
50,4029,2.8792
51,4108,2.9236
52,4187,2.8530
53,4266,2.8687
54,4345,2.7525
55,4424,2.8745
56,4503,2.9122
57,4582,2.7090
58,4661,2.9293
59,4740,2.7988
60,4819,2.9391
61,4898,2.9023
62,4977,2.9396
63,5056,2.8789
64,5135,2.8390
65,5214,2.9046
66,5293,2.9497
67,5372,2.8553
68,5451,2.9907
69,5530,2.7951
70,5609,2.9076
71,5688,2.8395
72,5767,2.9185
73,5846,2.7922
74,5925,2.8617
75,6004,3.1289
76,6083,2.8278
77,6162,2.7652
78,6241,2.9338
79,6320,2.8939
80,6399,2.9468
81,6478,2.8672
82,6557,2.8383
83,6636,3.0522
84,6715,2.8238
85,6794,2.7624
86,6873,2.8475
87,6952,2.9749
88,7031,2.8802
89,7110,2.8787
90,7189,2.9068
91,7268,2.7958
92,7347,3.0503
93,7426,2.8128
94,7505,2.8798
95,7584,2.8041
96,7663,2.8958
97,7742,2.8949
98,7821,2.9105
99,7900,3.1656